id_aluno,curso,campus,semestre,tempo_deslocamento_min,horas_estudo_semanal,nível_disposição_pós_aula,transporte_ida_ufc,bairro
137,Engenharia Mecânica,Pici,5,100,23,1,Ônibus,Ancuri
138,Ciências Econômicas,Benfica,4,30,19,4,Ônibus,Bairro de Fátima
139,Estatística,Pici,2,50,17,3,Ônibus,Bela Vista
140,Engenharia de Produção,Pici,9,25,21,5,Carro,Meireles
141,Música,Pici,6,60,24,2,Ônibus,José Walter
142,Psicologia,Benfica,3,40,15,3,Metrô,Benfica
143,Biotecnologia,Pici,7,70,22,2,Ônibus,Conjunto Ceará
144,Letras - Libras,Benfica,1,20,11,5,Bicicleta,Rodolfo Teófilo
145,Ciência da Computação,Pici,5,55,27,3,Ônibus,Pan Americano
146,Engenharia de Pesca,Pici,4,80,16,1,Ônibus,Vicente Pinzón
147,Design - Moda,Pici,8,40,15,4,Uber,Joaquim Távora
148,Engenharia Ambiental,Pici,2,45,19,3,Moto,Amadeu Furtado
149,Matemática,Pici,6,95,22,1,Ônibus,Pedras
150,Direito,Faculdade de Direito,5,25,25,5,Carro,Aldeota
Examples,Engenharia Metalúrgica,Pici,3,60,18,3,Ônibus,Serrinha
152,Geografia,Pici,7,35,16,4,Ônibus,Presidente Kennedy
153,Biblioteconomia,Benfica,4,50,11,3,Ônibus,Itaperi
154,Engenharia de Computação,Pici,1,85,26,1,Ônibus,Cajazeiras
155,Enfermagem,Porangabussu,6,30,20,4,Carro,Guararapes
156,Engenharia Metalúrgica,Pici,5,65,20,2,Ônibus,Barra do Ceará
157,Ciências Sociais,Benfica,3,20,17,5,A pé,Benfica
158,Engenharia Elétrica,Pici,8,40,24,4,Metrô,Couto Fernandes
159,Zootecnia,Pici,2,75,18,2,Ônibus,Messejana
160,Pedagogia,Benfica,7,55,13,2,Ônibus,Vila União
161,Engenharia Civil,Pici,6,30,21,4,Carro,Papicu
162,Física,Pici,3,90,23,1,Ônibus,Paupina
163,Jornalismo,Benfica,5,25,16,5,Bicicleta,Gentilândia
164,Engenharia de Computação,Pici,9,60,24,2,Ônibus,Manoel Sátiro
165,Engenharia Química,Pici,4,45,25,3,Moto,Parquelandia
166,Filosofia,Benfica,2,80,18,1,Ônibus,Barroso
167,Ciência de Dados,Pici,1,50,25,3,Metrô,Mondubim
168,Medicina,Porangabussu,7,20,34,5,Carro,Meireles
169,Sistemas e Mídias Digitais,Pici,6,70,26,2,Ônibus,Maraponga
170,Arquitetura e Urbanismo,Benfica,5,35,29,4,Ônibus,São João do Tauape
171,Engenharia Mecânica,Pici,3,110,22,1,Ônibus,Jangurussu
172,Letras,Benfica,8,15,10,5,A pé,Benfica
173,Engenharia de Energias Renováveis,Pici,4,55,19,3,Ônibus,Montese
174,Química,Pici,2,85,20,1,Ônibus,São Bento
175,Ciências Contábeis,Benfica,6,40,21,3,Ônibus,Jardim América
176,Biologia,Pici,5,65,17,2,Ônibus,Jardim Guanabara
177,Engenharia Civil,Pici,1,30,20,4,Uber,Varjota
178,Cinema e Audiovisual,Pici,7,35,16,5,Carro,Dionísio Torres
179,Engenharia de Telecomunicações,Pici,3,75,21,2,Ônibus,Canindezinho
180,Psicologia,Benfica,4,50,15,3,Metrô,Vila Pery
181,Agronomia,Pici,8,40,18,4,Moto,Pici
182,Engenharia de Produção,Pici,6,95,21,1,Ônibus,Messejana
183,História,Benfica,2,35,15,4,Ônibus,Bairro de Fátima
184,Engenharia de Alimentos,Pici,5,60,19,2,Ônibus,Quintino Cunha
185,Gastronomia,Benfica,3,20,16,5,Bicicleta,Benfica
186,Ciência da Computação,Pici,9,80,28,2,Ônibus,Conjunto Ceará
187,Odontologia,Porangabussu,1,45,23,3,Ônibus,Parangaba
188,Engenharia Metalúrgica,Pici,4,30,18,4,Carro,Cidade 2000
189,Ciências Atuariais,Benfica,6,55,20,3,Ônibus,Antônio Bezerra
190,Engenharia Ambiental,Pici,7,70,19,2,Ônibus,Planalto Ayrton Senna
191,Letras - Inglês,Benfica,3,25,12,5,Uber,Aldeota
192,Estatística,Pici,5,40,16,4,Metrô,Parangaba
193,Engenharia Civil,Pici,2,85,21,1,Ônibus,Siqueira
194,Design - Moda,Pici,4,15,17,5,A pé,Benfica
195,Sistemas e Mídias Digitais,Pici,8,65,25,2,Ônibus,Passaré
196,Geologia,Pici,1,50,21,3,Ônibus,Monte Castelo
197,Farmácia,Porangabussu,3,25,19,5,Carro,Meireles
198,Engenharia Elétrica,Pici,7,105,24,1,Ônibus,Pedras
199,Ciências Sociais,Benfica,9,35,16,4,Ônibus,Damas
200,Engenharia Mecânica,Pici,4,60,22,2,Ônibus,Vila Velha
